,Categoria,Serie,Series_2,Valor
0,{'100998': 'F.1 - Ouro monetário e direito especial de saque'},201001,"{'201001': '33', '201002': '1', '201003': '2', '201004': '2', '201101': '-790', '201102': '12', '201103': '3', '201104': '0', '201201': '1', '201202': '0', '201203': '2', '201204': '1', '201301': '0', '201302': '0', '201303': '1', '201304': '2', '201401': '1', '201402': '1', '201403': '3', '201404': '4', '201501': '12', '201502': '-2', '201503': '-1', '201504': '0', '201601': '33', '201602': '0', '201603': '1', '201604': '5', '201701': '6', '201702': '10', '201703': '8', '201704': '12', '201801': '1329', '201802': '35', '201803': '33', '201804': '398', '201901': '17', '201902': '29', '201903': '25', '201904': '28', '202001': '22', '202002': '40', '202003': '-13', '202004': '-11', '202101': '26', '202102': '16635', '202103': '81391', '202104': '1586'}",33
1,{'100998': 'F.1 - Ouro monetário e direito especial de saque'},201002,"{'201001': '33', '201002': '1', '201003': '2', '201004': '2', '201101': '-790', '201102': '12', '201103': '3', '201104': '0', '201201': '1', '201202': '0', '201203': '2', '201204': '1', '201301': '0', '201302': '0', '201303': '1', '201304': '2', '201401': '1', '201402': '1', '201403': '3', '201404': '4', '201501': '12', '201502': '-2', '201503': '-1', '201504': '0', '201601': '33', '201602': '0', '201603': '1', '201604': '5', '201701': '6', '201702': '10', '201703': '8', '201704': '12', '201801': '1329', '201802': '35', '201803': '33', '201804': '398', '201901': '17', '201902': '29', '201903': '25', '201904': '28', '202001': '22', '202002': '40', '202003': '-13', '202004': '-11', '202101': '26', '202102': '16635', '202103': '81391', '202104': '1586'}",1
2,{'100998': 'F.1 - Ouro monetário e direito especial de saque'},201003,"{'201001': '33', '201002': '1', '201003': '2', '201004': '2', '201101': '-790', '201102': '12', '201103': '3', '201104': '0', '201201': '1', '201202': '0', '201203': '2', '201204': '1', '201301': '0', '201302': '0', '201303': '1', '201304': '2', '201401': '1', '201402': '1', '201403': '3', '201404': '4', '201501': '12', '201502': '-2', '201503': '-1', '201504': '0', '201601': '33', '201602': '0', '201603': '1', '201604': '5', '201701': '6', '201702': '10', '201703': '8', '201704': '12', '201801': '1329', '201802': '35', '201803': '33', '201804': '398', '201901': '17', '201902': '29', '201903': '25', '201904': '28', '202001': '22', '202002': '40', '202003': '-13', '202004': '-11', '202101': '26', '202102': '16635', '202103': '81391', '202104': '1586'}",2
3,{'100998': 'F.1 - Ouro monetário e direito especial de saque'},201004,"{'201001': '33', '201002': '1', '201003': '2', '201004': '2', '201101': '-790', '201102': '12', '201103': '3', '201104': '0', '201201': '1', '201202': '0', '201203': '2', '201204': '1', '201301': '0', '201302': '0', '201303': '1', '201304': '2', '201401': '1', '201402': '1', '201403': '3', '201404': '4', '201501': '12', '201502': '-2', '201503': '-1', '201504': '0', '201601': '33', '201602': '0', '201603': '1', '201604': '5', '201701': '6', '201702': '10', '201703': '8', '201704': '12', '201801': '1329', '201802': '35', '201803': '33', '201804': '398', '201901': '17', '201902': '29', '201903': '25', '201904': '28', '202001': '22', '202002': '40', '202003': '-13', '202004': '-11', '202101': '26', '202102': '16635', '202103': '81391', '202104': '1586'}",2
4,{'100998': 'F.1 - Ouro monetário e direito especial de saque'},201101,"{'201001': '33', '201002': '1', '201003': '2', '201004': '2', '201101': '-790', '201102': '12', '201103': '3', '201104': '0', '201201': '1', '201202': '0', '201203': '2', '201204': '1', '201301': '0', '201302': '0', '201303': '1', '201304': '2', '201401': '1', '201402': '1', '201403': '3', '201404': '4', '201501': '12', '201502': '-2', '201503': '-1', '201504': '0', '201601': '33', '201602': '0', '201603': '1', '201604': '5', '201701': '6', '201702': '10', '201703': '8', '201704': '12', '201801': '1329', '201802': '35', '201803': '33', '201804': '398', '201901': '17', '201902': '29', '201903': '25', '201904': '28', '202001': '22', '202002': '40', '202003': '-13', '202004': '-11', '202101': '26', '202102': '16635', '202103': '81391', '202104': '1586'}",-790
5,{'100998': 'F.1 - Ouro monetário e direito especial de saque'},201102,"{'201001': '33', '201002': '1', '201003': '2', '201004': '2', '201101': '-790', '201102': '12', '201103': '3', '201104': '0', '201201': '1', '201202': '0', '201203': '2', '201204': '1', '201301': '0', '201302': '0', '201303': '1', '201304': '2', '201401': '1', '201402': '1', '201403': '3', '201404': '4', '201501': '12', '201502': '-2', '201503': '-1', '201504': '0', '201601': '33', '201602': '0', '201603': '1', '201604': '5', '201701': '6', '201702': '10', '201703': '8', '201704': '12', '201801': '1329', '201802': '35', '201803': '33', '201804': '398', '201901': '17', '201902': '29', '201903': '25', '201904': '28', '202001': '22', '202002': '40', '202003': '-13', '202004': '-11', '202101': '26', '202102': '16635', '202103': '81391', '202104': '1586'}",12
6,{'100998': 'F.1 - Ouro monetário e direito especial de saque'},201103,"{'201001': '33', '201002': '1', '201003': '2', '201004': '2', '201101': '-790', '201102': '12', '201103': '3', '201104': '0', '201201': '1', '201202': '0', '201203': '2', '201204': '1', '201301': '0', '201302': '0', '201303': '1', '201304': '2', '201401': '1', '201402': '1', '201403': '3', '201404': '4', '201501': '12', '201502': '-2', '201503': '-1', '201504': '0', '201601': '33', '201602': '0', '201603': '1', '201604': '5', '201701': '6', '201702': '10', '201703': '8', '201704': '12', '201801': '1329', '201802': '35', '201803': '33', '201804': '398', '201901': '17', '201902': '29', '201903': '25', '201904': '28', '202001': '22', '202002': '40', '202003': '-13', '202004': '-11', '202101': '26', '202102': '16635', '202103': '81391', '202104': '1586'}",3
7,{'100998': 'F.1 - Ouro monetário e direito especial de saque'},201104,"{'201001': '33', '201002': '1', '201003': '2', '201004': '2', '201101': '-790', '201102': '12', '201103': '3', '201104': '0', '201201': '1', '201202': '0', '201203': '2', '201204': '1', '201301': '0', '201302': '0', '201303': '1', '201304': '2', '201401': '1', '201402': '1', '201403': '3', '201404': '4', '201501': '12', '201502': '-2', '201503': '-1', '201504': '0', '201601': '33', '201602': '0', '201603': '1', '201604': '5', '201701': '6', '201702': '10', '201703': '8', '201704': '12', '201801': '1329', '201802': '35', '201803': '33', '201804': '398', '201901': '17', '201902': '29', '201903': '25', '201904': '28', '202001': '22', '202002': '40', '202003': '-13', '202004': '-11', '202101': '26', '202102': '16635', '202103': '81391', '202104': '1586'}",0
8,{'100998': 'F.1 - Ouro monetário e direito especial de saque'},201201,"{'201001': '33', '201002': '1', '201003': '2', '201004': '2', '201101': '-790', '201102': '12', '201103': '3', '201104': '0', '201201': '1', '201202': '0', '201203': '2', '201204': '1', '201301': '0', '201302': '0', '201303': '1', '201304': '2', '201401': '1', '201402': '1', '201403': '3', '201404': '4', '201501': '12', '201502': '-2', '201503': '-1', '201504': '0', '201601': '33', '201602': '0', '201603': '1', '201604': '5', '201701': '6', '201702': '10', '201703': '8', '201704': '12', '201801': '1329', '201802': '35', '201803': '33', '201804': '398', '201901': '17', '201902': '29', '201903': '25', '201904': '28', '202001': '22', '202002': '40', '202003': '-13', '202004': '-11', '202101': '26', '202102': '16635', '202103': '81391', '202104': '1586'}",1
9,{'100998': 'F.1 - Ouro monetário e direito especial de saque'},201202,"{'201001': '33', '201002': '1', '201003': '2', '201004': '2', '201101': '-790', '201102': '12', '201103': '3', '201104': '0', '201201': '1', '201202': '0', '201203': '2', '201204': '1', '201301': '0', '201302': '0', '201303': '1', '201304': '2', '201401': '1', '201402': '1', '201403': '3', '201404': '4', '201501': '12', '201502': '-2', '201503': '-1', '201504': '0', '201601': '33', '201602': '0', '201603': '1', '201604': '5', '201701': '6', '201702': '10', '201703': '8', '201704': '12', '201801': '1329', '201802': '35', '201803': '33', '201804': '398', '201901': '17', '201902': '29', '201903': '25', '201904': '28', '202001': '22', '202002': '40', '202003': '-13', '202004': '-11', '202101': '26', '202102': '16635', '202103': '81391', '202104': '1586'}",0
